"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2022","472.23","480.47","480.61","471.89","","-1.73%"
"02/02/2022","480.53","477.49","481.11","477.45","","0.80%"
"02/01/2022","476.73","472.77","477.14","472.16","","0.84%"
"01/31/2022","472.77","464.93","473.12","464.86","","1.68%"
"01/28/2022","464.95","458.46","464.95","455.24","","1.45%"
"01/27/2022","458.30","461.92","465.39","457.26","","-0.92%"
"01/26/2022","462.54","462.15","469.63","459.52","","0.17%"
"01/25/2022","461.77","465.87","465.94","456.75","","-0.98%"
"01/24/2022","466.34","469.68","469.68","453.79","","-0.81%"
"01/21/2022","470.14","477.03","477.25","469.82","","-1.71%"
"01/20/2022","478.32","480.14","486.21","477.48","","-0.29%"
"01/19/2022","479.73","482.62","485.26","479.73","","-0.74%"
"01/18/2022","483.30","491.24","491.52","482.63","","-1.54%"
"01/17/2022","490.87","490.38","491.03","490.11","","0.06%"
"01/14/2022","490.60","491.46","491.49","487.03","","-0.31%"
"01/13/2022","492.12","496.63","498.09","491.42","","-0.87%"
"01/12/2022","496.43","493.33","497.98","493.32","","0.82%"
"01/11/2022","492.40","488.26","492.83","487.04","","0.83%"
"01/10/2022","488.35","489.70","490.24","482.22","","-0.26%"
"01/07/2022","489.60","490.57","491.70","488.17","","-0.11%"
"01/06/2022","490.12","492.23","492.23","488.01","","-0.58%"
"01/05/2022","492.99","499.23","499.48","492.45","","-1.28%"
"01/04/2022","499.38","498.69","500.97","497.67","","0.24%"
"01/03/2022","498.18","496.77","498.50","495.99","","0.26%"
"12/31/2021","496.89","497.22","498.09","496.86","","-0.06%"
"12/30/2021","497.20","497.86","499.07","497.07","","-0.15%"
"12/29/2021","497.94","497.80","498.51","496.82","","0.06%"
"12/28/2021","497.66","497.53","499.25","497.32","","0.12%"
"12/27/2021","497.07","492.82","497.19","492.61","","0.88%"
"12/24/2021","492.71","493.11","493.21","492.71","","-0.02%"
"12/23/2021","492.79","489.66","493.97","489.66","","0.73%"
"12/22/2021","489.24","485.04","489.56","484.88","","0.93%"
