"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2020","2627.53","2641.62","2652.36","2619.21","","-0.55%"
"12/08/2020","2642.05","2634.48","2644.48","2627.16","","0.23%"
"12/07/2020","2635.88","2639.26","2640.18","2629.72","","-0.14%"
"12/04/2020","2639.66","2620.29","2639.66","2619.52","","0.70%"
"12/03/2020","2621.28","2616.34","2628.14","2613.75","","0.28%"
"12/02/2020","2613.91","2612.20","2616.16","2598.63","","0.19%"
"12/01/2020","2609.01","2581.24","2617.58","2581.20","","1.00%"
"11/30/2020","2583.14","2602.25","2602.25","2572.12","","-0.70%"
"11/27/2020","2601.45","2590.59","2603.87","2590.02","","0.44%"
"11/26/2020","2590.15","2590.31","2593.15","2589.34","","0.02%"
"11/25/2020","2589.67","2588.84","2593.34","2580.30","","0.10%"
"11/24/2020","2587.19","2547.84","2590.55","2547.84","","1.58%"
"11/23/2020","2546.90","2540.07","2557.94","2535.94","","0.27%"
"11/20/2020","2540.02","2547.75","2551.11","2539.97","","-0.25%"
"11/19/2020","2546.31","2541.80","2549.50","2526.58","","0.12%"
"11/18/2020","2543.36","2558.09","2565.99","2541.48","","-0.59%"
"11/17/2020","2558.43","2563.58","2564.80","2545.01","","-0.12%"
"11/16/2020","2561.50","2530.60","2562.62","2530.60","","1.27%"
"11/13/2020","2529.29","2508.43","2533.82","2504.41","","0.80%"
"11/12/2020","2509.24","2529.58","2530.74","2499.67","","-0.75%"
"11/11/2020","2528.25","2507.09","2532.60","2507.07","","0.84%"
"11/10/2020","2507.10","2503.49","2512.04","2487.55","","0.20%"
"11/09/2020","2502.06","2470.47","2546.16","2470.47","","1.30%"
"11/06/2020","2470.05","2466.90","2475.42","2456.46","","0.14%"
"11/05/2020","2466.58","2416.53","2474.76","2416.53","","2.07%"
"11/04/2020","2416.61","2371.55","2436.57","2360.67","","2.00%"
"11/03/2020","2369.27","2323.46","2377.88","2323.36","","2.03%"
"11/02/2020","2322.14","2293.39","2332.02","2293.39","","1.27%"
"10/30/2020","2292.93","2319.66","2320.30","2276.24","","-1.10%"
"10/29/2020","2318.44","2304.05","2333.92","2293.81","","0.51%"
"10/28/2020","2306.65","2378.28","2380.33","2305.62","","-3.15%"
"10/27/2020","2381.65","2388.32","2391.82","2379.94","","-0.35%"
"10/26/2020","2390.08","2431.14","2432.22","2372.21","","-1.66%"
"10/23/2020","2430.54","2420.97","2433.05","2418.15","","0.39%"
"10/22/2020","2421.00","2414.29","2423.78","2400.07","","0.13%"
"10/21/2020","2417.83","2423.71","2435.01","2416.51","","-0.20%"
"10/20/2020","2422.71","2415.72","2439.15","2412.64","","0.21%"
"10/19/2020","2417.69","2441.48","2454.27","2413.39","","-0.92%"
"10/16/2020","2440.14","2435.99","2457.68","2433.53","","0.17%"
"10/15/2020","2435.93","2452.27","2452.82","2414.58","","-0.72%"
"10/14/2020","2453.61","2462.67","2473.28","2448.38","","-0.43%"
"10/13/2020","2464.18","2479.03","2479.17","2458.45","","-0.55%"
"10/12/2020","2477.92","2447.82","2484.98","2447.01","","1.23%"
"10/09/2020","2447.76","2428.23","2450.50","2427.29","","0.84%"
"10/08/2020","2427.36","2410.57","2428.08","2409.85","","0.75%"
"10/07/2020","2409.39","2379.19","2412.95","2378.01","","1.13%"
"10/06/2020","2382.57","2403.31","2415.90","2377.34","","-0.87%"
"10/05/2020","2403.50","2362.55","2403.50","2362.52","","1.74%"
"10/02/2020","2362.41","2380.72","2382.07","2346.41","","-0.74%"
"10/01/2020","2380.02","2367.51","2387.01","2367.35","","0.54%"
"09/30/2020","2367.27","2360.73","2381.98","2350.85","","0.32%"
"09/29/2020","2359.63","2367.45","2371.63","2355.87","","-0.29%"
"09/28/2020","2366.41","2327.95","2371.99","2327.79","","1.70%"
"09/25/2020","2326.85","2302.97","2331.29","2289.77","","1.15%"
"09/24/2020","2300.30","2303.37","2318.54","2280.83","","-0.23%"
"09/23/2020","2305.57","2343.34","2352.16","2302.40","","-1.61%"
"09/22/2020","2343.39","2329.88","2346.04","2321.67","","0.60%"
"09/21/2020","2329.49","2366.63","2368.13","2300.42","","-1.63%"
"09/18/2020","2367.99","2385.69","2388.43","2353.65","","-0.65%"
"09/17/2020","2383.54","2401.54","2401.60","2368.72","","-0.83%"
"09/16/2020","2403.50","2407.74","2424.78","2401.11","","-0.19%"
"09/15/2020","2407.97","2394.92","2418.55","2393.55","","0.48%"
"09/14/2020","2396.37","2369.28","2404.50","2369.28","","1.19%"
"09/11/2020","2368.14","2365.08","2383.34","2352.99","","0.01%"
"09/10/2020","2367.80","2395.21","2413.49","2360.37","","-1.08%"
"09/09/2020","2393.75","2350.96","2405.82","2348.25","","1.67%"
"09/08/2020","2354.41","2408.15","2410.19","2352.64","","-2.23%"
"09/07/2020","2408.05","2401.09","2408.79","2399.96","","0.35%"
"09/04/2020","2399.60","2423.92","2433.90","2357.31","","-1.08%"
"09/03/2020","2425.78","2495.94","2500.32","2413.05","","-2.74%"
"09/02/2020","2494.10","2466.57","2497.61","2465.07","","1.09%"
"09/01/2020","2467.25","2453.75","2467.25","2448.25","","0.48%"
"08/31/2020","2455.51","2458.97","2461.35","2450.44","","-0.05%"
"08/28/2020","2456.86","2444.00","2457.86","2442.76","","0.58%"
"08/27/2020","2442.79","2447.61","2453.57","2434.50","","-0.13%"
"08/26/2020","2446.05","2423.60","2447.66","2420.34","","0.95%"
"08/25/2020","2422.95","2417.60","2425.05","2414.40","","0.24%"
"08/24/2020","2417.05","2393.08","2417.05","2392.26","","1.04%"
"08/21/2020","2392.11","2392.91","2394.79","2382.35","","0.12%"
"08/20/2020","2389.15","2389.82","2393.64","2371.46","","-0.22%"
"08/19/2020","2394.47","2400.39","2406.65","2388.33","","-0.20%"
"08/18/2020","2399.37","2394.26","2405.86","2388.89","","0.23%"
"08/17/2020","2393.97","2384.15","2396.20","2381.11","","0.41%"
"08/14/2020","2384.20","2389.12","2390.16","2379.00","","-0.25%"
"08/13/2020","2390.08","2392.64","2396.54","2383.42","","-0.07%"
"08/12/2020","2391.80","2358.36","2394.46","2357.01","","1.37%"
"08/11/2020","2359.47","2360.61","2382.53","2354.91","","-0.06%"
"08/10/2020","2360.87","2355.69","2364.04","2347.82","","0.21%"
"08/07/2020","2355.97","2360.56","2360.86","2344.19","","-0.17%"
"08/06/2020","2359.89","2355.17","2361.81","2343.99","","0.17%"
"08/05/2020","2355.94","2339.20","2357.69","2337.34","","0.82%"
"08/04/2020","2336.82","2327.09","2339.32","2323.93","","0.55%"
"08/03/2020","2324.08","2304.21","2329.36","2301.66","","0.83%"
"07/31/2020","2304.98","2307.08","2311.56","2279.06","","0.04%"
"07/30/2020","2304.01","2321.12","2321.60","2278.69","","-0.68%"
"07/29/2020","2319.71","2298.43","2324.13","2296.82","","0.86%"
"07/28/2020","2299.91","2311.30","2313.56","2298.64","","-0.51%"
"07/27/2020","2311.62","2290.64","2311.62","2289.95","","0.87%"
"07/24/2020","2291.58","2307.94","2309.35","2282.51","","-0.72%"
"07/23/2020","2308.12","2327.01","2332.03","2301.75","","-0.84%"
"07/22/2020","2327.76","2322.50","2329.00","2314.82","","0.27%"
